ARTO
  02001764 RTW_WS-IconTarget
  02000803 TK01_Expl
  02000804 TK02_Expl
  02001755 TK03_Expl
  02001756 TK04_Expl
  0200178C TK05_Expl
  02005B3E TK06_Expl
  0200D323 TK07_Expl
  0200D314 TS01_Expl
  0200D328 TS02_Expl
  0200D331 TW01_Expl

FLST
  0200175E WorkshopMenu01Decor02Targets
  0200175F workshopRecipe_Target
  02001760 workshopScrap_Target

KSSM
  02005B53 RTW_TumbleSmall

KYWD
  0200080C recipe_filter_ThrowingBlades
  02001761 RTW_WorkshopRecipeFilter01Decor02Targets
  02001762 RTW_WorkshopRecipeFilter01Decor02TargetsDUPLICATE000
  02005B54 s_RTW_TumbleSmall

MGEF
  02001773 BOE_Retrieval
  02000FB3 DCT_Retrieval
  02001772 FSS_Retrieval
  02005B39 Saw_Retrieval
  02001787 SHK01_Retrieval
  0200179A SHK02_Retrieval
  0200179B SHK03_Retrieval
  0200179C SHK04_Retrieval
  02005B4D TF01_Retrieval
  02001774 TH01_Retrieval
  02005B3D TH02_Retrieval
  0200176E TK01_Retrieval
  0200176F TK02_Retrieval
  02001770 TK03_Retrieval
  02001771 TK04_Retrieval
  0200178B TK05_Retrieval
  02005B38 TK06_Retrieval
  0200D322 TK07_Retrieval
  0200D329 TS02_Retrieval
  0200D330 TW01_Retrieval

PROJ
  02000817 BOE-NoSpin
  02000818 BOE-Thrown
  02000801 DCG_Tomahawk-NoSpin
  0200080F DCG_Tomahawk-Thrown
  02000813 FSS-NoSpin
  02000812 FSS-Thrown
  02005B4B ThrowingFork-NoSpin
  02005B4C ThrowingFork-Thrown
  02001758 ThrowingHatchet01-NoSpin
  02001759 ThrowingHatchet01-Thrown
  02005B3B ThrowingHatchet02-NoSpin
  02005B3C ThrowingHatchet02-Thrown
  02000805 ThrowingKnife01-NoSpin
  0200080D ThrowingKnife01-Thrown
  02000806 ThrowingKnife02-NoSpin
  0200080E ThrowingKnife02-Thrown
  02001751 ThrowingKnife03-NoSpin
  02001752 ThrowingKnife03-Thrown
  02001753 ThrowingKnife04-NoSpin
  02001754 ThrowingKnife04-Thrown
  0200178F ThrowingKnife05-NoSpin
  02001790 ThrowingKnife05-Thrown
  02005B35 ThrowingKnife06-NoSpin
  02005B36 ThrowingKnife06-Thrown
  0200D320 ThrowingKnife07-NoSpin
  0200D321 ThrowingKnife07-Thrown
  02005B34 ThrowingSaw01-NoSpin
  02005B33 ThrowingSaw01-Thrown
  0200D313 ThrowingShoe01-Thrown
  0200D32A ThrowingShoe02-NoSpin
  0200D32B ThrowingShoe02-Thrown
  02001785 ThrowingShuriken01-NoSpin
  02001784 ThrowingShuriken01-Thrown
  02001795 ThrowingShuriken02-NoSpin
  02001794 ThrowingShuriken02-Thrown
  02001797 ThrowingShuriken03-NoSpin
  02001796 ThrowingShuriken03-Thrown
  02001799 ThrowingShuriken04-NoSpin
  02001798 ThrowingShuriken04-Thrown
  0200D32D ThrowingWakisashi01-NoSpin
  0200D32E ThrowingWakisashi01-Thrown
  0200D336 Thunderstick01-Thrown

QUST
  02004BEC RTW_ControlQuest
  0200D317 RTW_ControlQuestAE
  020116BA RTW_Crosshair
  02001766 RTW_Menu_Installer

SNDR
  02005B52 RTW_LgThrowing
  02009ED9 RTW_MedThrowing
  02009ED8 RTW_SmallThrowing

SPEL
  02009EDA RTW_SlowTimeSpell

STAT
  0200D31E RTW_BarnTarget
  0200D31A RTW_FenceTarget
  0200D318 RTW_HayTarget
  0200D31C RTW_JanglesTarget
  02001765 RTW_StandingTarget
  0200D31B RTW_SwanTarget
  0200D319 RTW_SwingsetTarget
  0200D31D RTW_VaultTarget

WEAP
  02000819 BOEThrowingBlade
  02000800 DiamondCityTomahawk-Thrown
  02005B4A ThrowingFork01
  02000810 ThrowingFSS
  02001750 ThrowingHatchet01
  02005B3A ThrowingHatchet02
  02000807 ThrowingKnife01
  02000808 ThrowingKnife02
  0200174E ThrowingKnife03
  0200174F ThrowingKnife04
  0200178A ThrowingKnife05
  02005B37 ThrowingKnife06
  0200D31F ThrowingKnife07
  0200177C ThrowingSaw01
  02005B51 ThrowingShoe01
  0200D32C ThrowingShoe02
  02001783 ThrowingShuriken01
  02001791 ThrowingShuriken02
  02001792 ThrowingShuriken03
  02001793 ThrowingShuriken04
  0200D335 ThrowingThunderStick
  0200D32F ThrowingWakisashi01
